	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
'4	604	656	1432	720	616	424	816	608	184	1568	1172	912	588	1040	628	1080	1680	1136	724	1728	256	588	1296	220	1764	876	1968	700	592	868	472	536	552	612	1032	740	1232	872	472	616	496	1376
'5	430	415	1265	525	280	240	540	425	100	1290	840	690	315	770	460	735	1250	930	470	965	155	355	860	190	1315	715	1240	530	440	645	335	415	420	460	720	520	800	590	275	390	380	785
'6	348	216	954	360	264	282	540	336	66	810	456	468	168	450	384	618	936	822	318	858	120	282	786	108	1128	438	954	492	372	516	288	390	288	240	516	372	552	450	180	282	264	570
'7	231	245	875	245	210	168	399	210	35	805	371	511	98	406	196	392	840	595	245	553	91	210	539	77	861	413	630	378	259	301	203	308	175	217	315	252	469	413	217	210	273	406
'8	272	168	736	168	128	160	376	152	48	624	288	336	88	312	176	328	632	440	160	416	48	224	520	56	776	392	640	328	160	288	136	224	88	112	264	184	320	360	200	216	152	328
'9	252	99	594	162	99	126	261	180	27	648	198	333	63	225	126	243	531	351	243	396	36	162	414	54	738	333	549	279	108	261	144	216	108	72	234	180	297	297	162	144	126	252
'10	170	120	470	240	90	90	270	60	50	500	270	380	20	240	180	220	450	330	170	340	30	50	440	80	720	300	400	370	140	140	140	300	110	50	120	120	310	240	140	150	130	200
11-15	823	333	1927	505	200	295	926	444	37	2122	618	1025	160	704	572	907	1770	1475	452	1059	148	355	1796	148	2755	1218	1750	779	239	869	475	1042	212	252	689	172	1158	1393	712	333	266	489
16-20	617	125	1051	199	167	232	558	217	16	1641	204	788	65	547	191	430	1310	1200	256	510	0	148	1216	88	2199	757	944	539	124	525	301	971	73	51	282	70	842	730	260	109	89	371
21-50	1659	179	2271	446	164	449	1273	441	0	3795	442	2486	193	825	759	884	3270	2319	757	737	0	180	4099	188	7011	1881	2403	612	168	1172	657	2940	130	142	638	276	1091	2174	277	45	25	326
51-100	924	0	191	199	137	220	511	112	0	763	91	788	90	249	124	0	1483	986	130	132	0	0	1891	0	4500	677	255	163	0	327	135	1193	0	0	135	0	236	178	0	0	0	0
101-150	221	0	221	110	0	224	269	0	0	132	123	243	0	0	0	0	602	0	0	0	0	0	236	0	1078	254	0	0	0	0	0	381	106	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	357	0	350	0	0	0	0	0	0	676	0	0	0	0	0	0	0	0	0	0
201-500	232	0	251	0	0	0	228	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	434	0	0	0	0	0	0	1861	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	26.2	42.0	23.8	35.8	41.0	44.5	25.8	40.7	60.4	22.9	33.6	25.6	40.9	30.1	38.3	31.4	16.0	26.2	42.1	17.5	52.6	36.7	18.6	58.3	13.1	30.2	17.9	29.6	38.2	28.4	42.8	24.4	37.8	44.4	37.0	46.6	32.1	28.7	45.5	57.0	57.3	37.8
'2	11.7	17.2	13.6	16.8	19.0	11.0	13.8	17.2	11.3	13.8	19.2	15.1	20.6	18.4	18.7	18.4	18.1	14.0	14.7	29.2	10.3	13.9	12.1	11.0	9.3	12.7	21.1	10.7	17.1	14.9	13.5	7.8	17.1	19.1	17.2	18.4	14.9	14.7	10.8	14.6	17.1	20.7
